"id","value","session_id","created_at","updated_at","deleted_at","competence_id"
"096e7c2d-4123-434a-99a5-8e8f121890f2","Teacher should use questions like how,why, etc ","4e28898d-f9ff-4093-83ee-9446e442d3f4","2023-09-21 16:04:27",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"0b66774f-d271-42d6-8967-a82a17d4465c","Critical thinking task that starts with 'why', 'how' or 'when' should be applied by the teacher.","17afbe1b-1bf2-43f4-9425-95853fa7bf52","2023-09-21 15:40:05",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"12805b8a-8eb2-4c1e-a82d-58f71b0ea81d","That the teacher will write the objectives of the lesson on the board and also say it in clear and loud voice to the students before starting the lesson.","7899b39d-0a56-4f8f-b1c9-f4c6e5f3a82c","2023-09-21 15:30:26",NULL,NULL,"8860e659-02da-4d99-abe4-135c25f1c26f"
"194a7408-12b2-4184-9797-9153aa46d031","Please ensure you are always in the position to respond to students needs.","39540a9c-dbfe-49bd-9965-6739b9eb502f","2023-09-21 16:12:26",NULL,NULL,"0f8d1dcb-1d26-4073-a184-80e32012ae1b"
"19973a31-918b-497a-b483-3a8a8caeb65d","He will give critical thinking task to the student next time we meed","ea26310c-1fbd-401e-aa3e-594194024393","2023-09-22 16:08:21",NULL,NULL,"4d15a3be-db2a-4fef-913a-6535bcd9d389"
"1ca380f5-0130-440e-a5d7-7a95f1f08aab","The must always call students by their names,say thank you,well done when they do some thing correct","335a53f3-fd92-42e7-8ec2-a9073834163c","2023-09-21 16:27:14",NULL,NULL,"0f8d1dcb-1d26-4073-a184-80e32012ae1b"
"1d1c14db-b03c-4b94-82c2-16ab1c1a1cdf","1.The teacher will give one critical thinking task that starts with the Why.2: The teacher will give one critical thinking task that starts with the How. 3: The teacher gives students work that makes them think about the topic they are studying","fc9996aa-c852-447c-aaac-d588b47d455b","2023-09-21 16:46:49",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"36e96457-aebf-491e-8371-cc7b04798a50","We mutually agreed that 

1. That the teacher provides independent, / group work to the students during the lesson 
2. The teacher will work around the classroom to check if they are working on the activity that is provided to the students 
3. when the activity is over,  the teacher should also repeat the objectives of the lesson and connect them with the activity to make sure that the students have learned from it. ","028e7283-0412-4109-871c-ce67b7e98332","2023-09-21 15:57:46",NULL,NULL,"8860e659-02da-4d99-abe4-135c25f1c26f"
"3b1438d2-034d-48fa-a802-7a486f2f12be","We have agreed together with the teacher to improve on his skills in giving critical thinking task on our next meet on the 21 September 2023","18418ae7-fc1f-4b4b-a720-2a0d3fd26db1","2023-09-22 15:56:44",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"3de5bafc-ea07-4ddf-b6f1-206794b5f0a4","Test","cedbc2de-82f2-4a3f-af7c-b16f7266498d","2023-09-15 15:13:14",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"406451d9-e7e9-4c34-99e8-fd565ff83bc8","The teacher promise from now onward to improve on his critical thinking tasks.
  So the the students will be able to apply themselves, than asking them direct quotation.","912459dc-bdcd-4d78-bbc5-412c449c6991","2023-09-21 15:40:18",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"43b5e0d2-d243-4819-9399-ce961428df8c","Test","8cb13820-44a3-48ea-87f6-1b7b5f2ebe85","2023-09-15 16:08:55",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"46abe16f-0cd1-40df-b592-e30b3d0b9676","Teacher provides independent/group work, then walk around the classroom the classroom to check if they are working.","dfe3bbb8-ac9e-443e-8d42-fa8d5601b59f","2023-09-22 15:58:17",NULL,NULL,"8860e659-02da-4d99-abe4-135c25f1c26f"
"4945348b-95fc-4298-9098-6467ecdd22f5","For critical thinking you didn't ask any critical questions for the pupils to think out of the box but there is room for improvement ","551b42a1-573d-4188-bc2a-da3d73505e5c","2023-09-21 16:10:37",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"49ff5430-a04c-4b97-a14a-6ceccbace846","Not to use cane in class and negative words on students during the lesson.","dd9ec0d2-0028-4bf8-9a3c-494d009d441f","2023-09-21 15:36:51",NULL,NULL,"0f8d1dcb-1d26-4073-a184-80e32012ae1b"
"4c1b50de-e5b3-4ed7-9aec-a56cd3dce60b","That the teacher should ask more critical thinking question base on the topic they are studying.","0dca87c1-0378-4679-95e5-b2467908f565","2023-09-22 14:32:42",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"515b1568-7e3b-4ec5-ad22-559561b44008","wefrth","1c84fcf1-07b5-4726-b369-5f7115ba3eee","2023-10-05 20:51:56",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"516fbf3d-75ad-468d-94a6-849d5cf7c2e6","4.1 That the teacher should Improve on his teaching by writing the the leaning objective/topic before you start teaching in the previous lesson 
","7be2027e-22ad-46e9-aebc-15726153143c","2023-09-21 15:50:04",NULL,NULL,"8860e659-02da-4d99-abe4-135c25f1c26f"
"553e037c-1e4d-4a6f-9feb-7fd055d7fa7b","The teacher will give one critical that starts with the why","b15b5268-192f-4b3c-9ac9-68459c626285","2023-09-22 16:08:51",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"57066f39-15e6-443c-8eb2-9c852de35769","Provide critical thinking task for the students in line with the lesson ","0a6aa266-a291-4eec-8dea-75f43176ee3b","2023-09-22 16:08:08",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"581354e4-ae69-4797-97ae-1c43e96f4e9e","School teachers should be lectured on critical thinking questions
Encourage teachers to use questions such as ""why, how, ...""","4397f1bd-6de3-4b68-9df3-f1c43f4af326","2023-09-22 15:58:43",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"62201199-61b1-4ddf-b338-726c57ab231a","She should improve on the behavioural expectations for classroom activities ","e7092fae-e824-47f0-94ff-5f3cf91f13d4","2023-09-22 09:27:46",NULL,NULL,"b9f2de44-2825-4353-a092-e979b7190a28"
"63867479-c6a0-4f9a-9788-11e80a8dc54f","John has 12 apples. He gives 4 apples to his friend. How many apples does he have left?","abdf551e-acb2-409a-a004-a4e48dd6abbe","2023-09-21 15:48:17",NULL,NULL,"968d595a-d033-4b6c-9758-943cfb6c412c"
"696f2196-e18b-4695-ba48-7b3393328a57","dvdfv","4a1f2faa-4c50-4966-aa62-7792bdd36db5","2023-10-05 21:01:30",NULL,NULL,"b9f2de44-2825-4353-a092-e979b7190a28"
"6b006ec9-3b9c-4f93-b305-82c853c685bf","My feedback test","3e16c991-b18b-49d2-8afc-82e0eeedb67f","2023-09-18 22:32:46",NULL,NULL,"b9f2de44-2825-4353-a092-e979b7190a28"
"6be0165d-4fb6-4ffd-a723-d9be638d04d3","You should help students with pen and pencil if they don't have during the lesson.","e4909e3a-5000-4e49-8881-9a9fc9092525","2023-09-22 16:03:41",NULL,NULL,"0f8d1dcb-1d26-4073-a184-80e32012ae1b"
